id;name;city_id;unit_class_kind;unit_type_produce_id;size;technology_level;employee_count;employee_salary;employee_level;equipment_count;equipment_quality;equipment_wear;district_id;fertility;quality;extract_cost;on_holiday;artefact_energy;artefact_wear;artefact_feeder
7169126;Auto repair shop;0;repair;0;100;0;500;49339.08;25;500;50.6519615118012;0.10;2009;0;0;0;0;0;0;0;
7169127;Auto repair shop;0;repair;0;100;0;500;58178.26;25;500;50.2024316311044;0.10;2009;0;0;0;0;0;0;0;
7169176;Auto repair shop;0;repair;0;100;0;500;37268.64;25;500;50.6410230387072;0.10;2009;0;0;0;0;0;0;0;
7170012;July-2017;0;orchard;0;10;40;1000;1641.52;19.13;200;57.59;0.00;0;0;0;0;0;0;0;0;
7170019;Agricultural farm ;0;farm;0;47;40;4700;447.51;19.13;940;56.23;0.02;0;0;0;0;0;0;0;0;
7170029;July-2017;0;orchard;0;111;40;11100;623.70;19.13;2220;56.76;0.03;0;0;0;0;0;0;0;0;
7170058;July-2017;0;farm;0;57;40;5700;2396.61;19.13;1140;56.91;0.03;0;0;0;0;0;0;0;0;
7170115;Sawmill 2;0;sawmill;0;26;39;260;1345.71;18.75;650;51.07;0.07;0;0;0;0;0;0;0;0;
7170332;Auto repair shop;0;repair;0;100;0;500;44998.81;25;500;50.5486852594975;0.10;2009;0;0;0;0;0;0;0;
7170333;Auto repair shop;0;repair;0;100;0;500;57806.66;25;500;50.6051744046482;0.10;2009;0;0;0;0;0;0;0;
7170334;Auto repair shop;0;repair;0;100;0;500;40808.90;25;500;50.613740111604;0.10;2009;0;0;0;0;0;0;0;
7170335;Auto repair shop;0;repair;0;100;0;500;29536.18;25;500;50.2054151761973;0.10;2009;0;0;0;0;0;0;0;
7171878;Iron ore mine;0;mine;0;20;40;10000;746.09;19.13;20000;54.28;0.00;0;0;0;0;0;0;0;0;
7171879;Coal mine ;0;mine;0;16;38;5000;850.51;18.36;10000;48.17;0.00;0;0;0;0;0;0;0;0;
7174181;Office ;0;office;0;1000;0;10000;867.219270178818;15.45;10000;60.7275481828021;0.00;0;0;0;0;0;0;0;0;
7174186;Office ;0;office;0;1000;0;10000;2097.02349817656;15.32;10000;59.9633441722463;0.00;0;0;0;0;0;0;0;0;
7174189;Office ;0;office;0;1000;0;10000;1552.41364443169;15.33;10000;59.972758658203;0.00;0;0;0;0;0;0;0;0;
7174192;Office ;0;office;0;1000;0;10000;1427.56489180282;15.2;10000;59.2351958186861;0.00;0;0;0;0;0;0;0;0;
7174204;Office ;0;office;0;1000;0;10000;2328.10794591522;15.3;10000;59.8039747384768;0.00;0;0;0;0;0;0;0;0;
7174206;Office ;0;office;0;1000;0;10000;1848.92675395245;15.31;10000;59.9044764524007;0.00;0;0;0;0;0;0;0;0;
7174222;Office ;0;office;0;1000;0;10000;2135.51939320872;15.15;10000;58.9680788883553;0.00;0;0;0;0;0;0;0;0;
7174224;Office ;0;office;0;1000;0;10000;1389.0103191765;15.31;10000;59.8484412573155;0.00;0;0;0;0;0;0;0;0;
7174226;Office ;0;office;0;1000;0;10000;295.202534090578;15.3;10000;59.8247923024564;0.00;0;0;0;0;0;0;0;0;
7174228;Office ;0;office;0;1000;0;10000;776.009138904292;15.32;10000;59.9630394740774;0.00;0;0;0;0;0;0;0;0;
7174231;Office ;0;office;0;1000;0;10000;3620.8520408332;15.32;10000;59.9633788790786;0.00;0;0;0;0;0;0;0;0;
7174392;Medical center;0;medicine;0;100;0;2500;19658.38;16.49;2500;66.9085076935191;0.01;2008;0;0;0;0;0;0;0;
7174393;Medical center;0;medicine;0;100;0;2500;32021.39;16.3;2500;65.8046414207567;0.03;2008;0;0;0;0;0;0;0;
7174394;Medical center;0;medicine;0;100;0;2500;29646.06;16.35;2500;66.0733277569166;0.03;2008;0;0;0;0;0;0;0;
7174395;Medical center;0;medicine;0;100;0;2500;13508.09;16.3;2500;65.7977764399578;0.03;2008;0;0;0;0;0;0;0;
7174397;Medical center;0;medicine;0;100;0;2500;26902.60;16.34;2500;66.0487677773672;0.03;2008;0;0;0;0;0;0;0;
7174399;Medical center;0;medicine;0;100;0;2500;13424.00;16.32;2500;65.8796848683705;0.03;2008;0;0;0;0;0;0;0;
7174400;Medical center;0;medicine;0;100;0;2500;18196.52;16.37;2500;66.1768818268323;0.04;2008;0;0;0;0;0;0;0;
7174406;Chemical factory;0;workshop;0;100;39;20000;2622.67;18.75;80000;47.08;0.00;0;0;0;0;0;1;1;0;
7174410;Glass-works factory;0;workshop;0;100;39;20000;846.81;18.75;40000;52.2;0.00;0;0;0;0;0;1;1;0;
7174735;Iron ore mine;0;mine;0;10;40;5000;746.09;19.13;10000;18.95;0.00;0;0;0;0;0;0;0;0;
7174738;Coal mine;0;mine;0;10;38;4000;850.51;18.36;8000;35.2;0.00;0;0;0;0;0;0;0;0;
7176015;Car assembly plant;0;workshop;0;100;39;50000;5000.00;17.77;200000;47.95;0.00;0;0;0;0;0;1;1;0;
7176818;0;0;villa;0;1;0;0;140.10;1e-06;1;112.94;0.00;0;0;0;0;0;0;0;0;
7178254;Tailoring atelier;0;workshop;0;100;39;10000;3494.09;18.75;20000;47.61;0.00;0;0;0;0;0;1;1;0;
7178262;Metallurgical factory;0;workshop;0;100;39;30000;462.02;18.75;120000;49.3;0.00;0;0;0;0;0;1;1;0;
7178284;Medical center;0;medicine;0;100;0;2500;22057.81;16.48;2500;66.8921227761126;0.03;2008;0;0;0;0;0;0;0;
7178528;Bauxite quarry;0;mine;0;7;39;3500;551.44;18.75;7000;47.69;0.00;0;0;0;0;0;0;0;0;
7179340;Iron ore mine;0;mine;0;11;40;2500;746.09;19.13;5000;49.98;0.00;0;0;0;0;0;0;0;0;
7179358;Lesopilka;0;sawmill;0;309;39;3090;189.67;18.75;7725;51.8;0.01;0;0;0;0;0;0;0;0;
7179359;Furniture factory ;0;workshop;0;100;39;10000;193.62;18.75;10000;47.14;0.00;0;0;0;0;0;1;1;0;
7179367;Agricultural farm ;0;farm;0;50;40;5000;689.63;19.13;1000;58.31;0.06;0;0;0;0;0;0;0;0;
7179368;Tobacco factory;0;workshop;0;100;39;10000;995.60;18.75;10000;48.76;0.00;0;0;0;0;0;1;1;0;
7179570;Biodiesel plant;0;workshop;0;100;38;30000;586.22;18.36;120000;51.76;0.00;0;0;0;0;0;1;1;0;
7179581;Office ;0;office;0;1000;0;10000;838.725789625265;15.32;10000;59.9630394740774;0.00;0;0;0;0;0;0;0;0;
7179583;Office ;0;office;0;1000;0;10000;1270.17702721124;15.32;10000;59.9630394740774;0.00;0;0;0;0;0;0;0;0;
7179584;Office ;0;office;0;1000;0;10000;843.875835329196;15.32;10000;59.945727666749;0.00;0;0;0;0;0;0;0;0;
7179585;Office ;0;office;0;1000;0;10000;1093.30930366794;15.3;10000;59.8328542436465;0.00;0;0;0;0;0;0;0;0;
7179586;Office ;0;office;0;1000;0;10000;771.750158689405;15.26;10000;59.5808943265534;0.00;0;0;0;0;0;0;0;0;
7179587;Office ;0;office;0;1000;0;10000;1150.49884756806;15.31;10000;59.8484412573155;0.00;0;0;0;0;0;0;0;0;
7179589;Office ;0;office;0;1000;0;10000;1065.96333374549;15.31;10000;59.8484412573155;0.00;0;0;0;0;0;0;0;0;
7179654;Silica quarry;0;mine;0;10;39;5000;714.57;18.75;10000;51.08;0.00;0;0;0;0;0;0;0;0;
7179753;Chromium mine;0;mine;0;10;39;5000;988.78;18.75;10000;46.7;0.00;0;0;0;0;0;0;0;0;
7179972;Pharmaceutical Plant;0;workshop;0;100;39;10000;515.03;18.75;20000;49.2;0.00;0;0;0;0;0;1;1;0;
7185103;Pulp and paper mill;0;workshop;0;100;38;10000;704.87;18.36;20000;54.46;0.00;0;0;0;0;0;1;1;0;
7185104;Household chemicals factory;0;workshop;0;100;39;20000;666.27;18.75;80000;48.93;0.00;0;0;0;0;0;1;1;0;
7185428;Coal mine;0;mine;0;2;38;1000;999.00;18.36;2000;44.1;0.00;0;0;0;0;0;0;0;0;
7190379;0;0;villa;0;1;0;0;380.10;1e-06;1;107.11;0.00;0;0;0;0;0;0;0;0;
7195374;Metallurgical factory;0;workshop;0;100;39;16250;443.22;18.75;65000;49.17;0.00;0;0;0;0;0;1;1;0;
7195698;0;0;villa;0;2;0;0;248.80;1e-06;2;112.94;0.00;0;0;0;0;0;0;0;0;
7196635;Polymer plant;0;workshop;0;1000;39;100000;5692.93;18.75;200000;57.24;0.00;0;0;0;0;0;1;1;0;
7199341;Oil-fired power plant;0;power;0;100;38;20000;704.95;18.36;100;56.26;0.48;0;0;0;0;0;0;0;0;
7199392;Coffee processing manufactory;0;workshop;0;100;39;5000;530.80;18.75;5000;48.94;0.00;0;0;0;0;0;1;1;0;
7199414;Poultry farm;0;animalfarm;0;100;40;2000;296.80;21.59;100000;100.26;0.00;0;0;0;0;0;0;0;0;
7199415;Poultry farm;0;animalfarm;0;300;40;6000;298.08;21.59;300000;100.27;0.00;0;0;0;0;0;0;0;0;
7199416;Poultry farm;0;animalfarm;0;100;40;2000;289.71;19.13;100000;20.68;0.00;0;0;0;0;0;0;0;0;
7199428;Machine-tool factory;0;workshop;0;100;39;30000;1124.78;18.75;60000;45.78;0.00;0;0;0;0;0;1;1;0;
7199437;Dairy-farm;0;workshop;0;100;39;5000;199.47;18.75;5000;49.24;0.00;0;0;0;0;0;1;1;0;
7199445;Dairy-farm;0;workshop;0;100;39;5000;197.08;18.75;5000;51.09;0.00;0;0;0;0;0;1;1;0;
7199447;Bakery;0;workshop;0;100;39;5000;199.47;18.75;5000;48.6;0.00;0;0;0;0;0;1;1;0;
7199452;Mixed fodder production;0;workshop;0;100;40;10000;198.50;19.13;10000;54.18;0.00;0;0;0;0;0;1;1;0;
7199573;Manganese mine;0;mine;0;10;39;5000;2036.62;18.75;10000;46.2;0.00;0;0;0;0;0;0;0;0;
7199910;IT-equipment assembly unit;0;workshop;0;100;40;5000;603.59;19.13;5000;47.66;0.01;0;0;0;0;0;1;1;0;
7199913;Mobile network operator;0;it;0;500;0;5000;5486.88;16.61;500;67.6609835726519;0.19;2008;0;0;0;0;0;0;0;
7200504;Fishing base;0;fishingbase;0;27;39;1350;4132.18;18.75;135;54.42;0.68;0;0;0;0;0;0;0;0;
7200720;Mobile network operator;0;it;0;500;0;5000;11840.65;16.61;500;67.687165927935;0.07;2008;0;0;0;0;0;0;0;
7200725;Tractor factory ;0;workshop;0;100;40;10000;982.60;19.13;40000;47.41;0.00;0;0;0;0;0;1;1;0;
7203470;Restaurant;0;restaurant;0;100;0;1000;18906.52;26.3;1000;72.9801271119816;0.08;2008;0;0;0;0;0;0;0;
7203679;Mobile network operator;0;it;0;500;0;5000;9339.14;16.61;500;67.6843387426575;0.15;2008;0;0;0;0;0;0;0;
7204634;Soft drinks production;0;workshop;0;100;38;5000;952.32;18.36;5000;48.74;0.01;0;0;0;0;0;1;1;0;
7204636;Restaurant;0;restaurant;0;100;0;1000;22347.44;26.3;1000;72.9801271119816;0.08;2008;0;0;0;0;0;0;0;
7204646;Restaurant;0;restaurant;0;100;0;1000;13149.05;26.3;1000;72.9801271119816;0.08;2008;0;0;0;0;0;0;0;
7204650;Restaurant;0;restaurant;0;100;0;1000;10991.46;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7205644;Kitchen Furniture Factory;0;workshop;0;100;38;10000;195.43;18.36;10000;51.95;0.00;0;0;0;0;0;1;1;0;
7207116;Radio towers;0;network;0;1;0;0;0;0;1;75.5635033505862;9.78;0;0;0;0;0;0;0;0;
7208792;Auto repair shop;0;repair;0;100;0;500;27853.74;25;500;50.5729109204804;0.10;2009;0;0;0;0;0;0;0;
7210561;Engineering plant;0;workshop;0;100;40;30000;1036.29;19.13;60000;52.6;0.00;0;0;0;0;0;1;1;0;
7213003;Chromium mine;0;mine;0;10;39;5000;1778.99;18.75;10000;54.08;0.00;0;0;0;0;0;0;0;0;
7215416;Weaving mill ;0;workshop;0;100;39;20000;694.12;18.75;20000;53.25;0.00;0;0;0;0;0;1;1;0;
7217777;Agricultural farm ;0;farm;0;1;40;100;136.34;19.13;20;59.26;1.39;0;0;0;0;0;0;0;0;
7218460;Rice Way;0;farm;0;50;40;5000;1529.42;19.13;1000;57.31;0.07;0;0;0;0;0;0;0;0;
7218488;Fisheries for sale;0;fishingbase;0;20;39;1000;1379.82;18.75;100;56.53;0.57;0;0;0;0;0;0;0;0;
7218505;Bauxite Brown quarry;0;mine;0;251;39;125500;727.89;1.85;251000;11.54;0.00;0;0;0;0;0;0;0;0;
7219106;Iron ore mine;0;mine;0;7;40;2500;2151.42;19.13;5000;18.93;0.00;0;0;0;0;0;0;0;0;
7219177;Ceramic factory;0;workshop;0;100;39;20000;520.66;18.75;40000;47.18;0.00;0;0;0;0;0;1;1;0;
7219178;Ceramic factory;0;workshop;0;100;39;20000;536.53;18.75;40000;48.83;0.00;0;0;0;0;0;1;1;0;
7220885;Coal mine ;0;mine;0;10;38;5000;118.51;1.65;10000;6.02;0.00;0;0;0;0;0;0;0;0;
7222870;Agricultural farm ;0;farm;0;10;40;1000;2442.28;19.13;200;58.12;0.44;0;0;0;0;0;0;0;0;
7224338;Bauxite quarry ;0;mine;0;10;39;5000;883.28;18.75;10000;46.25;0.00;0;0;0;0;0;0;0;0;
7225248;Restaurant;0;restaurant;0;100;0;1000;22952.86;26.3;1000;72.9801271119816;0.08;2008;0;0;0;0;0;0;0;
7226374;Titanium mine;0;mine;0;2;31;1000;549.31;15.6;2000;15.3;0.00;0;0;0;0;0;0;0;0;
7226691;Chemicals plant;0;workshop;0;100;39;20000;5077.35;18.75;80000;49.15;0.00;0;0;0;0;0;1;1;0;
7227733;Wax foundation factory;0;workshop;0;100;38;5000;197.39;18.36;5000;48.56;0.00;0;0;0;0;0;1;1;0;
7227743;Restaurant;0;restaurant;0;100;0;1000;7039.72;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7228407;Forestry for sale;0;sawmill;0;2;39;20;1241.84;18.75;50;53.44;0.35;0;0;0;0;0;0;0;0;
7231476;Auto repair shop;0;repair;0;100;0;500;34022.52;25;500;50.5489637819628;0.10;2009;0;0;0;0;0;0;0;
7231689;Soy-bean factory;0;workshop;0;100;39;5000;1109.10;18.75;5000;47.98;0.00;0;0;0;0;0;1;1;0;
7231690;Spice-making plant;0;workshop;0;100;39;5000;1397.23;18.75;5000;51.25;0.01;0;0;0;0;0;1;1;0;
7232965;Iron ore mine;0;mine;0;10;40;500;736.39;19.13;5000;46.23;0.00;0;0;0;0;0;0;0;0;
7232973;Coal mine ;0;mine;0;10;38;5000;591.75;18.36;10000;48.03;0.00;0;0;0;0;0;0;0;0;
7233218;Gold mine;0;mine;0;5;39;500;3057.86;18.75;5000;50.14;0.00;0;0;0;0;0;0;0;0;
7234557;0;0;villa;0;1;0;0;151.70;1e-06;1;112.94;0.00;0;0;0;0;0;0;0;0;
7235597;Restaurant;0;restaurant;0;100;0;1000;3071.58;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7235745;Store;0;shop;0;1000;0;2500;2944.17073077872;7;0;0;0.00;2010;0;0;0;0;0;0;0;
7236992;Diamond quarry;0;mine;0;10;38;5000;535.48;18.36;20000;45.78;0.00;0;0;0;0;0;0;0;0;
7237677;Restaurant;0;restaurant;0;100;0;1000;6230.19;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7237679;Restaurant;0;restaurant;0;100;0;1000;13389.27;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7239603;Kindergarten;0;educational;0;150;0;750;37748.34;21;750;65.0805409848202;0.06;2009;0;0;0;0;0;0;0;
7239985;Warehouse;0;warehouse;0;10000;0;0;98.07;1e-06;0;0;0.00;0;0;0;0;0;0;0;0;
7240851;Auto repair shop;0;repair;0;100;0;500;17834.17;25;500;50.2747080636416;0.10;2007;0;0;0;0;0;0;0;
7243620;Restaurant;0;restaurant;0;100;0;1000;11314.96;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7243663;Restaurant;0;restaurant;0;100;0;1000;13780.86;26.3;1000;72.9801271119817;0.06;2009;0;0;0;0;0;0;0;
7243671;Restaurant;0;restaurant;0;100;0;1000;9182.91;26.3;1000;72.9801271119817;0.06;2009;0;0;0;0;0;0;0;
7243672;Restaurant;0;restaurant;0;100;0;1000;9256.63;26.3;1000;72.9801271119817;0.06;2009;0;0;0;0;0;0;0;
7243673;Restaurant;0;restaurant;0;100;0;1000;6917.68;26.3;1000;72.9801271119817;0.06;2009;0;0;0;0;0;0;0;
7243674;Restaurant;0;restaurant;0;100;0;1000;8930.91;26.3;1000;72.9801271119817;0.06;2009;0;0;0;0;0;0;0;
7244560;Land for sale;0;orchard;0;10;40;1000;501.45;19.13;200;57.59;0.00;0;0;0;0;0;0;0;0;
7249097;0;0;villa;0;1;0;0;2376.90;1e-06;1;107.11;0.00;0;0;0;0;0;0;0;0;
7249143;Silica quarry;0;mine;0;2;39;500;2009.64;18.75;2000;44.95;0.00;0;0;0;0;0;0;0;0;
7249144;Refrigerator factory ;0;workshop;0;100;39;10000;515.35;18.75;20000;49.52;0.00;0;0;0;0;0;1;1;0;
7251582;Coffee machines plant;0;workshop;0;100;38;10000;500.84;18.36;20000;48.6;0.00;0;0;0;0;0;1;1;0;
7251583;Cookers Plant;0;workshop;0;100;39;5000;518.50;18.75;10000;49.01;0.00;0;0;0;0;0;1;1;0;
7251584;Dishwasher Factory;0;workshop;0;100;34;5000;415.42;16.8;20000;53.23;0.00;0;0;0;0;0;1;1;0;
7251585;Ceramic materials factory;0;workshop;0;100;38;20000;550.36;18.36;40000;48.12;0.00;0;0;0;0;0;1;1;0;
7251588;Metal tableware factory;0;workshop;0;100;38;10000;527.52;18.36;20000;49.13;0.00;0;0;0;0;0;1;1;0;
7251596;Cotton-cleaning factory;0;workshop;0;100;39;10000;725.64;18.75;20000;52.63;0.00;0;0;0;0;0;1;1;0;
7251625;Titanium smelter;0;workshop;0;100;39;5125;562.25;18.75;20500;48.22;0.00;0;0;0;0;0;1;1;0;
7251823;Dockyard;0;workshop;0;100;39;50000;1702.91;18.75;200000;55.95;0.00;0;0;0;0;0;1;1;0;
7253000;0;0;villa;0;1;0;0;2376.90;1e-06;1;107.11;0.00;0;0;0;0;0;0;0;0;
7254135;Car accessories factory;0;workshop;0;100;40;10000;493.85;19.13;20000;51.84;0.00;0;0;0;0;0;1;1;0;
7254182;Shoe factory ;0;workshop;0;100;39;10000;907.08;18.75;10000;48.53;0.00;0;0;0;0;0;1;1;0;
7254426;0;0;villa;0;2;0;0;980.00;1e-06;2;112.94;0.00;0;0;0;0;0;0;0;0;
7256361;0;0;villa;0;1;0;0;378.00;1e-06;1;112.94;0.00;0;0;0;0;0;0;0;0;
7257573;Pharmaceutical Plant;0;workshop;0;100;39;10000;517.24;18.75;20000;47;0.00;0;0;0;0;0;1;1;0;
7259298;Agricultural farm ;0;farm;0;1;40;100;294.48;19.13;20;60.24;4.38;0;0;0;0;0;0;0;0;
7259666;Jewelry factory ;0;workshop;0;100;37;5000;485.22;17.98;5000;44.82;0.00;0;0;0;0;0;1;1;0;
7260684;Restaurant;0;restaurant;0;100;0;1000;1749.28;26.3;1000;72.9801271119816;0.08;2009;0;0;0;0;0;0;0;
7260800;0;0;villa;0;2;0;0;1090.60;1e-06;2;112.94;0.00;0;0;0;0;0;0;0;0;
7265806;0;0;villa;0;2;0;0;1059.00;1e-06;1;112.94;0.00;0;0;0;0;0;0;0;0;
7267568;Power engineering plant;0;workshop;0;100;38;5000;281.85;18.36;20000;48.74;0.00;0;0;0;0;0;1;1;0;
7267569;Computer factory;0;workshop;0;100;39;5000;337.10;18.75;10000;47.27;0.00;0;0;0;0;0;1;1;0;
7267925;Bakery;0;workshop;0;100;39;5000;577.56;18.75;5000;47.77;0.00;0;0;0;0;0;1;1;0;
7269325;Computer equipment plant;0;workshop;0;100;38;10000;289.41;18.36;20000;48.91;0.00;0;0;0;0;0;1;1;0;
7269326;Microprocessors factory;0;workshop;0;100;39;10000;304.88;18.75;20000;49.96;0.00;0;0;0;0;0;1;1;0;
7269327;LED production factory;0;workshop;0;100;40;10000;327.97;19.13;20000;49.44;0.00;0;0;0;0;0;1;1;0;
7269424;0;0;villa;0;2;0;0;1295.00;1e-06;2;112.94;0.00;0;0;0;0;0;0;0;0;
7269531;Duralumin Plant;0;workshop;0;100;39;30000;564.46;18.75;120000;56.11;0.00;0;0;0;0;0;1;1;0;
7269533;Cigar manufacturing;0;workshop;0;100;38;5000;981.17;18.36;5000;48.83;0.00;0;0;0;0;0;1;1;0;
7269536;Tea processing manufactory;0;workshop;0;100;39;5000;1683.44;18.75;5000;45.41;0.00;0;0;0;0;0;1;1;0;
7269545;Tea processing manufactory;0;workshop;0;100;39;5000;461.50;18.75;5000;48.06;0.01;0;0;0;0;0;1;1;0;
7269546;Yacht shipyard;0;workshop;0;100;38;50000;1582.87;18.36;200000;55.84;0.00;0;0;0;0;0;1;1;0;
7269550;Power units installation plant;0;workshop;0;100;39;5000;270.55;18.75;20000;47.3;0.00;0;0;0;0;0;1;1;0;
7270771;Brewery ;0;workshop;0;100;39;5000;1129.75;18.75;5000;48.69;0.00;0;0;0;0;0;1;1;0;
7272343;Tailoring atelier;0;workshop;0;100;39;5000;3928.86;18.75;5000;49.19;0.00;0;0;0;0;0;1;1;0;
7272344;Cheesery;0;workshop;0;100;38;5000;1079.37;18.36;5000;48.26;0.00;0;0;0;0;0;1;1;0;
